metric,real_n,synthetic_n,real_mean,synthetic_mean,real_median,synthetic_median,real_iqr,synthetic_iqr,real_p25,real_p75,synthetic_p25,synthetic_p75,median_diff_synthetic_minus_real,median_ratio_synthetic_over_real,ks_statistic,ks_pvalue,cliffs_delta_synthetic_vs_real
volume_mm3,261,261,817.4123563218391,817.6513409961685,270.375,267.0,1041.75,1014.0,78.5,1120.25,77.0,1091.0,-3.375,0.9875173370319001,0.02681992337164751,0.9999856555980297,0.0012330999251332188
equivalent_sphere_diameter_mm,261,261,9.230569117425091,9.232785538949468,8.02273850082748,7.989216918353326,7.573228846285824,7.494144183852397,5.312394823130951,12.885623669416775,5.278340074235308,12.772484258087704,-0.03352158247415371,0.9958216782871963,0.02681992337164751,0.9999856555980297,0.0012330999251332188
elongation,261,261,1.5127676119298437,1.2888108394104718,1.3773804920686294,1.2159898524872208,0.5228691133046921,0.3697209388979499,1.205761732884954,1.728630846189646,1.1386901464379695,1.5084110853359194,-0.16139063958140865,0.8828278456746379,0.3218390804597701,2.3563031388130993e-12,-0.3278431027142878
secondary_axis_ratio,261,261,0.7013522730468501,0.790771149499087,0.726015800106289,0.8223752837694912,0.2508587380011873,0.21525278011622695,0.5784925116917017,0.829351249692889,0.6629492515147504,0.8782020316309773,0.09635948366320224,1.1327236730235006,0.3218390804597701,2.3563031388130993e-12,0.3278431027142878
aspect_ratio_major_to_minor2,261,261,1.9309717441180496,1.320479820972571,1.7303562173381866,1.2519649401163886,0.7617347959849494,0.3339451754380687,1.4705314169323922,2.2322662129173416,1.1835077647239167,1.5174529401619854,-0.478391277221798,0.7235301769495133,0.5977011494252874,1.1523573885320606e-43,-0.7256352666578588
sphericity,261,261,0.7345328219630902,0.9149138679995693,0.727278674834801,0.9211140404905424,0.10082472331397396,0.09814964498445455,0.6790109243482736,0.7798356476622476,0.8539653205369778,0.9521149655214324,0.19383536565574133,1.2665214481914657,0.8888888888888888,1.3876365356080584e-108,0.9398716988887421
compactness,261,261,302.8783611026142,151.19000670345224,294.00168072318706,144.71453938314218,122.7866938991759,50.572557408956186,238.47514550602708,361.261839405203,131.0340603979829,181.60661780693908,-149.28714134004488,0.4922235105159008,0.8888888888888888,1.3876365356080584e-108,-0.9398716988887421
surface_area_mm2,261,261,488.48952432155613,396.2643905946578,277.43496648916175,218.955078125,608.0723285239158,508.70692443847656,120.40783669234926,728.480165216265,92.57115173339844,601.278076171875,-58.47988836416175,0.7892122643940546,0.10727969348659004,0.09918127382464491,-0.11046520162651752
surface_to_volume_ratio,261,261,1.1489823778288817,0.9108079656982251,1.0456119077795971,0.8083106939741176,0.77221046149364,0.6596902229655737,0.6725991823259592,1.4448096438195992,0.5511256426873281,1.2108158656529018,-0.23730121380547953,0.773050390838223,0.20689655172413793,2.6495768981807897e-05,-0.2481613599330603
bbox_fill_fraction,261,261,0.38341408901312457,0.4998596579495343,0.3746753246753246,0.4814814814814814,0.10022152960749453,0.11411618615700253,0.3319213275353626,0.4321428571428571,0.434402332361516,0.5485185185185185,0.1068061568061568,1.2850632261377495,0.5670498084291188,4.772939549592593e-39,0.6981547540406042
principal_axis_length_major_mm,261,261,13.523160257175753,11.065761205742625,12.42372607481692,8.56099954981303,11.759146413092388,11.83471304690521,7.287081707348225,19.046228120440613,5.070156669292581,16.90486971619779,-3.8627265250038896,0.6890846995706309,0.20689655172413793,2.6495768981807897e-05,-0.23107411811335712
principal_axis_length_minor1_mm,261,261,9.968332024105512,7.8675537561115405,7.794821131844543,7.071067811865488,8.846722347146194,6.239854944937608,5.344685066901789,14.191407414047983,4.502837542171857,10.742692487109466,-0.7237533199790551,0.9071494640175549,0.18007662835249041,0.0004095959137802458,-0.18365849003978216
principal_axis_length_minor2_mm,261,261,8.090704839210836,7.588343480619972,6.2942477403246,6.569106235015656,7.207302828960097,6.474597900025902,4.289907778785835,11.497210607745933,4.130187540322716,10.604785440348618,0.27485849469105617,1.043668204054021,0.09195402298850575,0.2200461448565086,-0.029667797008264704
connected_component_count,261,261,1.0,1.0344827586206897,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.034482758620689655,0.9978454714475502,0.034482758620689655
largest_component_fraction,261,261,1.0,0.9998643406356778,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.034482758620689655,0.9978454714475502,-0.034482758620689655
