metric,real_n,synthetic_n,real_median,synthetic_median,median_diff_synthetic_minus_real,median_ratio_synthetic_over_real,real_p25,real_p75,synthetic_p25,synthetic_p75,ks_statistic,ks_pvalue,cliffs_delta_synthetic_vs_real
volume_mm3,261,261,270.375,262.0,-8.375,0.9690245030050856,78.5,1120.25,76.0,1113.0,0.10344827586206896,0.12248054588992964,0.012096123075116337
equivalent_sphere_diameter_mm,261,261,8.02273850082748,7.93903207074245,-0.0837064300850292,0.989566351928784,5.312394823130951,12.885623669416775,5.255390479711558,12.857765890077918,0.10344827586206896,0.12248054588992964,0.012096123075116337
max_diameter_bbox_mm,261,261,12.5,16.0,3.5,1.28,7.0,18.5,10.0,25.0,0.24521072796934865,2.684626829404602e-07,0.2865929742663789
principal_axis_length_major_mm,261,261,12.42372607481692,16.3883094995351,3.9645834247181817,1.3191138794306205,7.287081707348225,19.046228120440613,9.794775876581731,26.91780722683398,0.24904214559386972,1.622305169916278e-07,0.28400933632800457
principal_axis_length_minor1_mm,261,261,7.794821131844543,9.231306294254484,1.4364851624099408,1.1842871232210066,5.344685066901789,14.191407414047983,5.044369898876825,15.35701313962672,0.10344827586206896,0.12248054588992964,0.03794718221987346
principal_axis_length_minor2_mm,261,261,6.2942477403246,8.284872155664369,1.9906244153397683,1.3162608936706883,4.289907778785835,11.497210607745933,4.345490496133884,13.62100309706,0.16475095785440613,0.0016453471167570555,0.12115206764433875
elongation,261,261,1.3773804920686294,2.46585292386996,1.0884724318013306,1.790248183467881,1.205761732884954,1.728630846189646,2.431110937255161,2.5246239595529625,0.9233716475095786,2.6771849846567764e-120,0.919613628690125
aspect_ratio_major_to_minor2,261,261,1.7303562173381866,2.7292209383548967,0.9988647210167101,1.5772595902555067,1.4705314169323922,2.2322662129173416,2.6866151784964853,2.78154490904103,0.8199233716475096,1.025620814504562e-88,0.7654174190044186
flatness,261,261,0.8221769579887312,0.9015772778718334,0.07940031988310214,1.0965732730789939,0.7504626927426623,0.8735233594072677,0.8866085917903973,0.925569846812164,0.6475095785440613,7.00278765570924e-52,0.6908148735338588
bbox_fill_fraction,261,261,0.3746753246753246,0.1703296703296703,-0.2043456543456543,0.45460605252632985,0.3319213275353626,0.4321428571428571,0.1404634581105169,0.20625,0.8505747126436781,4.65371813413119e-97,-0.883985848710383
surface_area_mm2,261,261,277.43496648916175,325.4766845703125,48.04171808115075,1.1731638902229995,120.40783669234926,728.480165216265,122.03661346435548,872.7723999023438,0.10727969348659004,0.09918127382464491,0.07311988960819718
sphericity,261,261,0.727278674834801,0.6136345928761562,-0.11364408195864484,0.8437406651797419,0.6790109243482736,0.7798356476622476,0.6003719429412467,0.7070900363778198,0.6053639846743295,7.184880087454809e-45,-0.565831388264999
surface_to_volume_ratio,261,261,1.0456119077795971,1.2317342606801835,0.18612235290058643,1.1780032835469763,0.6725991823259592,1.4448096438195992,0.7780086885601663,1.6318272609336704,0.14559386973180077,0.007840639978993168,0.125467917382305
roughness_index,261,261,1.3749887554824107,1.629634332238209,0.25464557675579824,1.1851982976155007,1.2823214776058909,1.4727303554943791,1.4142470527836282,1.6656341319032315,0.6053639846743295,7.184880087454809e-45,0.565831388264999
