volume_stratum,n_cases,metric,real_median,synthetic_median,median_diff_synthetic_minus_real,median_ratio_synthetic_over_real,cliffs_delta_synthetic_vs_real
tiny_<100,80,elongation,1.3595079910596741,2.541591728829108,1.182083737769434,1.869493776824404,0.9509375
tiny_<100,80,aspect_ratio_major_to_minor2,1.6892189296781912,2.8175390655466908,1.1283201358684996,1.667953760193448,0.7759375
tiny_<100,80,bbox_fill_fraction,0.4044196428571428,0.25349206349206344,-0.1509275793650794,0.626804528338914,-0.68265625
tiny_<100,80,sphericity,0.7798353688035258,0.7791805824440428,-0.0006547863594830172,0.9991603530877451,-0.1346875
tiny_<100,80,max_diameter_bbox_mm,6.0,7.0,1.0,1.1666666666666667,0.6034375
tiny_<100,80,principal_axis_length_major_mm,5.99140444134267,7.376685163142361,1.385280721799691,1.2312113520898031,0.61125
tiny_<100,80,surface_to_volume_ratio,1.7173845068821576,1.6581849499114552,-0.05919955697070245,0.965529235454571,-0.0790625
small_100_500,86,elongation,1.636505723227931,2.454873558682202,0.8183678354542709,1.5000702556909356,0.8193618171984857
small_100_500,86,aspect_ratio_major_to_minor2,2.0599855362171233,2.718136094942773,0.6581505587256498,1.3194928057282633,0.5932936722552731
small_100_500,86,bbox_fill_fraction,0.39909054487179485,0.1577380952380952,-0.24135244963369964,0.3952438795280592,-1.0
small_100_500,86,sphericity,0.7239809720950809,0.6142737341391338,-0.10970723795594717,0.8484666832631352,-0.9259058950784208
small_100_500,86,max_diameter_bbox_mm,11.0,16.0,5.0,1.4545454545454546,0.6518388318009735
small_100_500,86,principal_axis_length_major_mm,11.61553225718346,15.676765656014176,4.061233398830716,1.3496381662854153,0.6473769605191996
small_100_500,86,surface_to_volume_ratio,1.1065747016889151,1.2941612182195772,0.18758651653066205,1.1695199756910737,0.5208220659816117
medium_500_1500,48,elongation,1.4609366738339356,2.4631586372975596,1.002221963463624,1.6860132827205256,0.9583333333333334
medium_500_1500,48,aspect_ratio_major_to_minor2,1.8968982940338726,2.7252338248610033,0.8283355308271307,1.436678937100852,0.7829861111111112
medium_500_1500,48,bbox_fill_fraction,0.33871966848940527,0.14791745401864445,-0.19080221447076082,0.4366957923592533,-1.0
medium_500_1500,48,sphericity,0.6861449248425991,0.6006724482774676,-0.08547247656513157,0.8754308696741598,-0.8342013888888888
medium_500_1500,48,max_diameter_bbox_mm,18.75,24.5,5.75,1.3066666666666666,0.8771701388888888
medium_500_1500,48,principal_axis_length_major_mm,18.942143355631682,25.68339680305372,6.741253447422039,1.3558865182707953,0.8819444444444444
medium_500_1500,48,surface_to_volume_ratio,0.7029384304604732,0.7977280141695198,0.09478958370904655,1.134847633308301,0.4774305555555556
large_>=1500,47,elongation,1.205154459497118,2.4531811257198095,1.2480266662226915,2.0355740348365496,1.0
large_>=1500,47,aspect_ratio_major_to_minor2,1.4323256726064209,2.7248192358262133,1.2924935632197925,1.902374081494906,1.0
large_>=1500,47,bbox_fill_fraction,0.3379687140556706,0.1391346153846153,-0.19883409867105528,0.41167897973448775,-1.0
large_>=1500,47,sphericity,0.6919109945563937,0.5956439957594516,-0.09626699879694212,0.8608679446427037,-1.0
large_>=1500,47,max_diameter_bbox_mm,21.5,32.0,10.5,1.4883720930232558,0.8673607967406066
large_>=1500,47,principal_axis_length_major_mm,23.042138161187925,34.846635783910834,11.80449762272291,1.5123004445223904,0.8868266183793572
large_>=1500,47,surface_to_volume_ratio,0.4934515982518115,0.5965120139346131,0.10306041568280155,1.2088561797102726,0.5943866002716162
