volume_stratum,n_cases,metric,real_median,synthetic_median,median_diff_synthetic_minus_real,median_ratio_synthetic_over_real,cliffs_delta_synthetic_vs_real
tiny_<100,80,elongation,1.3595079910596741,1.1242005498433605,-0.23530744121631364,0.8269172062512834,-0.7465625
tiny_<100,80,aspect_ratio_major_to_minor2,1.6892189296781912,1.1724615585274178,-0.5167573711507734,0.6940850223308713,-0.90625
tiny_<100,80,bbox_fill_fraction,0.4044196428571428,0.5192592592592593,0.11483961640211648,1.2839615197491345,0.59046875
tiny_<100,80,sphericity,0.7798353688035258,0.9684223441973606,0.18858697539383484,1.2418292154191175,0.945
tiny_<100,80,max_diameter_bbox_mm,6.0,5.0,-1.0,0.8333333333333334,-0.521875
tiny_<100,80,principal_axis_length_major_mm,5.99140444134267,4.126444687995465,-1.8649597533472049,0.688727447528268,-0.6765625
tiny_<100,80,surface_to_volume_ratio,1.7173845068821576,1.3891561792251914,-0.3282283276569662,0.8088789514860295,-0.5771875
small_100_500,86,elongation,1.636505723227931,1.1949622937232143,-0.4415434295047167,0.730191331910656,-0.8412655489453759
small_100_500,86,aspect_ratio_major_to_minor2,2.0599855362171233,1.2155277193071414,-0.8444578169099819,0.5900661426678213,-0.9718766901027582
small_100_500,86,bbox_fill_fraction,0.39909054487179485,0.5155895691609977,0.11649902428920289,1.2919112612067205,0.7522985397512169
small_100_500,86,sphericity,0.7239809720950809,0.9246784747831249,0.20069750268804398,1.2772137810573372,1.0
small_100_500,86,max_diameter_bbox_mm,11.0,8.0,-3.0,0.7272727272727273,-0.6202001081665766
small_100_500,86,principal_axis_length_major_mm,11.61553225718346,7.936782129486481,-3.678750127696979,0.6832904385055701,-0.693347755543537
small_100_500,86,surface_to_volume_ratio,1.1065747016889151,0.8333832305698865,-0.27319147111902864,0.7531197209713282,-0.7368848025959979
medium_500_1500,48,elongation,1.4609366738339356,1.5117438901338058,0.050807216299870284,1.0347771516793653,0.033854166666666664
medium_500_1500,48,aspect_ratio_major_to_minor2,1.8968982940338726,1.5207345085748434,-0.3761637854590292,0.8016953325108994,-0.6527777777777778
medium_500_1500,48,bbox_fill_fraction,0.33871966848940527,0.45804292929292934,0.11932326080352407,1.352277331091142,0.9418402777777778
medium_500_1500,48,sphericity,0.6861449248425991,0.8549568477595421,0.1688119229169429,1.2460295439125606,1.0
medium_500_1500,48,max_diameter_bbox_mm,18.75,15.5,-3.25,0.8266666666666667,-0.6753472222222222
medium_500_1500,48,principal_axis_length_major_mm,18.942143355631682,16.42938788105711,-2.512755474574572,0.8673457682481583,-0.6423611111111112
medium_500_1500,48,surface_to_volume_ratio,0.7029384304604732,0.571970304549072,-0.13096812591140117,0.8136847834231968,-0.7682291666666666
large_>=1500,47,elongation,1.205154459497118,1.5415663183654065,0.3364118588682885,1.2791441845625873,1.0
large_>=1500,47,aspect_ratio_major_to_minor2,1.4323256726064209,1.5447192332225337,0.11239356061611283,1.0784692774594962,0.42507922136713444
large_>=1500,47,bbox_fill_fraction,0.3379687140556706,0.433468286099865,0.0954995720441944,1.2825692677235905,0.7673155273879584
large_>=1500,47,sphericity,0.6919109945563937,0.8413217482843784,0.14941075372798474,1.2159392680611714,0.9348121321865097
large_>=1500,47,max_diameter_bbox_mm,21.5,21.0,-0.5,0.9767441860465116,-0.14938886373924853
large_>=1500,47,principal_axis_length_major_mm,23.042138161187925,22.1232228968254,-0.9189152643625249,0.9601202259124397,-0.026708918062471707
large_>=1500,47,surface_to_volume_ratio,0.4934515982518115,0.4320760241664098,-0.06137557408540173,0.8756198697038542,-0.5862381167949299
